date,amount,currency,merchant,description,id,reportedBalance
21/04/2023,-30,USD,Zelle payment to gold drip wells JPM999vknz5g,,X5xo94xbyEhVK4JoV7zbf11Kzm3DRVuO1VZBe,180.25
21/04/2023,-250,USD,ORIG CO NAME:SPEEDY FUNDING L ORIG ID:815134911 DESC DATE:Apr 21 CO ENTRY DESCR:SPEEDYFUNDSEC:CCD TRACE#:067015091723336 EED:230421 IND ID: IND NAME:GOLDDRIP TRN: 1111723336TC,,QoA7mKAML8tZnovwZO8JIBB75AjnNmIwBKaQD,180.25
21/04/2023,-500,USD,ORIG CO NAME:LIQUIDIBEE ORIG ID:1016207445 DESC DATE:042023 CO ENTRY DESCR:DIRECT PAYSEC:CCD TRACE#:114094342046298 EED:230421 IND ID:230420164530OE6 IND NAME:GOLD DRIP TRN: 1112046298TC,,pLyVjnyORMHLbxMyL4YeS77Nod9zRxC7Md50z,180.25
21/04/2023,730,USD,Zelle payment from YBILA C PASCUAL 17143265886,,ezEbmQEBZpF1vgkz1dNefAApNJVxwgILqDZvR,180.25
21/04/2023,1230,USD,Zelle payment from KIARA BEATO 17151884546,,YQJoRaJbKEIAkdORANQxH88yaBkqEZHn8aZ66,180.25
21/04/2023,-700,USD,Zelle payment to Awadfinejewelry JPM999vknnih,,NoyX9By1datewLKZenpPfOOBXmA0M4IpMXEBe,180.25
21/04/2023,-300,USD,ORIG CO NAME:Capital Assist L ORIG ID:873082205 DESC DATE:Apr 21 CO ENTRY DESCR:GOLD DRIP SEC:CCD TRACE#:067015091723342 EED:230421 IND ID: IND NAME:GOLD DRIP LLC TRN: 1111723342TC,,nwBrVQBZMni07vMY0B1eSVV3ZMzbgvHMPxwmX,180.25
20/04/2023,-5487.34,USD,SHOPIFY* 169118041 HTTPSSHOPIFY. IL 04/20,,v3jE0Xj7wMUzbLMRzJyrSvvjoLrrKLFpbJajM,0.25
20/04/2023,2380,USD,ORIG CO NAME:ACIMA14855636 ORIG ID:1462225226 DESC DATE: CO ENTRY DESCR:CREDITS SEC:CCD TRACE#:091408593360801 EED:230420 IND ID:128068BCF55B40C IND NAME: 8012971982 TRN: 1103360801TC,,JXP4xDPwQ0Uj1Bqzj0nyF553nLrrBLI0RV1pQ,0.25
20/04/2023,-133,USD,Zelle payment to gold drip wells JPM999vjjgq0,,AVOREoODbPUqKBxPqQ1XU99D8oddBoswy5L0k,0.25
20/04/2023,-250,USD,ORIG CO NAME:SPEEDY FUNDING L ORIG ID:815134911 DESC DATE:Apr 20 CO ENTRY DESCR:SPEEDYFUNDSEC:CCD TRACE#:067015092952905 EED:230420 IND ID: IND NAME:GOLDDRIP TRN: 1102952905TC,,0evk8Bvx30fjQBLKj0NqFOO8aAJJRAf9zEYar,0.25
20/04/2023,617.4,USD,ORIG CO NAME:MOLLIE LLC ORIG ID:9844260260 DESC DATE: CO ENTRY DESCR:ACH PaymenSEC:CCD TRACE#:021201383230480 EED:230420 IND ID:OW90436 - ALL IND NAME:Gold Drip LLC TRN: 1103230480TC,,a59ojg9yaEhr1aB7rDpQFYYpBgZZLgfKMpQe9,0.25
20/04/2023,2450,USD,ORIG CO NAME:ACIMA14851495 ORIG ID:1462225226 DESC DATE: CO ENTRY DESCR:CREDITS SEC:CCD TRACE#:091408593360793 EED:230420 IND ID:AC55240FB2604F9 IND NAME: 8012971982 TRN: 1103360793TC,,8V8nNj8OrZUqdKXAq8gwUbbdVwZZ7wtYnrw9Z,0.25
20/04/2023,1237.74,USD,ORIG CO NAME:MOLLIE LLC ORIG ID:9844260260 DESC DATE: CO ENTRY DESCR:ACH PaymenSEC:CCD TRACE#:021201383230476 EED:230420 IND ID:OW90436 - ALL IND NAME:Gold Drip LLC TRN: 1103230476TC,,xK4EvQ4VLMidebMJdDw7cmmDqbVVZbCm83EvA,0.25
20/04/2023,-500,USD,ORIG CO NAME:LIQUIDIBEE ORIG ID:1016207445 DESC DATE:041923 CO ENTRY DESCR:DIRECT PAYSEC:CCD TRACE#:114094343319654 EED:230420 IND ID:230419164529F3J IND NAME:GOLD DRIP TRN: 1103319654TC,,r1kRVYkZnMiNbdMwNJ08H886ZdkkndtrM5Q8r,0.25
20/04/2023,-16.95,USD,APPLE.COM/BILL CA 04/20,,4VmZQkmzAaUY5mqJYewKfXXxEVqqvVfDp6VQn,0.25
20/04/2023,-300,USD,ORIG CO NAME:Capital Assist L ORIG ID:873082205 DESC DATE:Apr 20 CO ENTRY DESCR:GOLD DRIP SEC:CCD TRACE#:067015092952901 EED:230420 IND ID: IND NAME:GOLD DRIP LLC TRN: 1102952901TC,,j5DjVQDL7EhkyRrmk38qfvveRBaayBFvoMpXe,0.25
19/04/2023,-390,USD,Zelle payment to gold drip wells JPM999vi6m70,,Z58Q7x8bkEh9AYwP9MZqt66ba0DDN0f8d7nxj,-14.55
19/04/2023,-14.82,USD,APPLE.COM/BILL CA 04/19,,7VJOb0JZj8UAaoy4AjndUoo1e5rrm5I8Lrdqq,-14.55
19/04/2023,2400,USD,ORIG CO NAME:AMERICANFIRSTFIN ORIG ID:1462541785 DESC DATE:230418 CO ENTRY DESCR:PAYMENT SEC:CCD TRACE#:096016934941966 EED:230419 IND ID:14193-72 IND NAME:DULAURY FERREIRA TAVAR CUSTOMER CREDITS TRN: 1094941966TC,,V54x9j4bBEh73VaR7xZLCgg4bDZZVDfnxDyLE,-14.55
19/04/2023,-500,USD,ORIG CO NAME:LIQUIDIBEE ORIG ID:1016207445 DESC DATE:041823 CO ENTRY DESCR:DIRECT PAYSEC:CCD TRACE#:114094344898042 EED:230419 IND ID:230418164528VHH IND NAME:GOLD DRIP TRN: 1094898042TC,,o63kvQ3oEYtN8LEbN5oOHrrYQLVVELtrN5vPL,-14.55
19/04/2023,-1000,USD,Zelle payment to Awadfinejewelry JPM999vi6auc,,5zaN8Aa9vmFmNpBnmoJkHzzkLXVVxXtNazZKA,-14.55
19/04/2023,-250,USD,ORIG CO NAME:SPEEDY FUNDING L ORIG ID:815134911 DESC DATE:Apr 19 CO ENTRY DESCR:SPEEDYFUNDSEC:CCD TRACE#:067015095337240 EED:230419 IND ID: IND NAME:GOLDDRIP TRN: 1095337240TC,,bgVjX7VqxQTBbPOnBog4fAAJ6PBBrPIPYvMmL,-14.55
19/04/2023,-300,USD,ORIG CO NAME:Capital Assist L ORIG ID:873082205 DESC DATE:Apr 19 CO ENTRY DESCR:GOLD DRIP SEC:CCD TRACE#:067015091895689 EED:230419 IND ID: IND NAME:GOLD DRIP LLC TRN: 1091895689TC,,gMwjVQwdoEiPDkv0P6Mdi668pkEEdkf6V90D9,-14.55
19/04/2023,660,USD,ORIG CO NAME:AMERICANFIRSTFIN ORIG ID:1462541785 DESC DATE:230418 CO ENTRY DESCR:PAYMENT SEC:CCD TRACE#:096016934941967 EED:230419 IND ID:14195-129 IND NAME:DULAURY FERREIRA TAVAR CUSTOMER CREDITS TRN: 1094941967TC,,9OZ8mrZn45hrx4kqrmL6FMMzAwyyvwi6BzOKV,-14.55
18/04/2023,-1000,USD,Zelle payment to Advance 100k 17121182046,,v3jE0Xj7wMUzbLMRzJyATrOmLEEyz9fp61gxM,-1401.83
