Date,Desc,,,,,,,,,
10/03/2020,Purim,,,,,,,,,
11/03/2020,Purim,,,,,,,,,
08/04/2020,Passover,,,,,,,,,
09/04/2020,Passover,,,,,,,,,
10/04/2020,Passover,,,,,,,,,
11/04/2020,Passover,,,,,,,,,
12/04/2020,Passover,,,,,,,,,
13/04/2020,Passover,,,,,,,,,
14/04/2020,Passover,,,,,,,,,
15/04/2020,Passover,,,,,,,,,
16/04/2020,Passover,,,,,,,,,
29/04/2020,IDP,,,,,,,,,
12/05/2020,Lag Baomer,,,,,,,,,
28/05/2020,Shavuot,,,,,,,,,
29/05/2020,Shavuot,,,,,,,,,
30/05/2020,Shavuot,,,,,,,,,
18/09/2020,Rosh Hashana,,,,,,,,,
19/09/2020,Rosh Hashana,,,,,,,,,
20/09/2020,Rosh Hashana,,,,,,,,,
27/09/2020,Yom Kippur,,,,,,,,,
28/09/2020,Yom Kippur,,,,,,,,,
02/10/2020,Sukkot,,,,,,,,,
03/10/2020,Sukkot,,,,,,,,,
04/10/2020,Sukkot,,,,,,,,,
05/10/2020,Sukkot,,,,,,,,,
06/10/2020,Sukkot,,,,,,,,,
07/10/2020,Sukkot,,,,,,,,,
08/10/2020,Sukkot,,,,,,,,,
09/10/2020,Sukkot,,,,,,,,,
10/10/2020,Sukkot,,,,,,,,,
11/10/2020,Sukkot,,,,,,,,,
11/12/2020,Hanukkah ,,,,,,,,,
12/12/2020,Hanukkah ,,,,,,,,,
13/12/2020,Hanukkah ,,,,,,,,,
14/12/2020,Hanukkah ,,,,,,,,,
15/12/2020,Hanukkah ,,,,,,,,,
16/12/2020,Hanukkah ,,,,,,,,,
17/12/2020,Hanukkah ,,,,,,,,,
18/12/2020,Hanukkah ,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
