Date,Desc,
29/09/2019,Rosh_Hashana,
30/09/2019,Rosh_Hashana,
01/10/2019,Rosh_Hashana,
08/10/2019,Yom_Kippur,
09/10/2019,Yom_Kippur,
13/10/2019,Sukkot,
14/10/2019,Sukkot,
15/10/2019,Sukkot,
16/10/2019,Sukkot,
17/10/2019,Sukkot,
18/10/2019,Sukkot,
19/10/2019,Sukkot,
20/10/2019,Sukkot,
21/10/2019,Sukkot,
22/10/2019,Sukkot,
23/12/2019,Hannukah,
24/12/2019,Hannukah,
25/12/2019,Hannukah,
26/12/2019,Hannukah,
27/12/2019,Hannukah,
28/12/2019,Hannukah,
29/12/2019,Hannukah,
30/12/2019,Hannukah,
10/02/2020,Tu_Bishvat,
09/03/2020,Purim,
10/03/2020,Purim,
11/03/2020,Purim,
08/04/2020,Passover,
09/04/2020,Passover,
10/04/2020,Passover,
11/04/2020,Passover,
12/04/2020,Passover,
13/04/2020,Passover,
14/04/2020,Passover,
15/04/2020,Passover,
16/04/2020,Passover,
29/04/2020,IDC,
12/05/2020,Lg_Baomer,
28/05/2020,Shavuot,
29/05/2020,Shavuot,
30/05/2020,Shavuot,
18/09/2020,Rosh_Hashana,
19/09/2020,Rosh_Hashana,
20/09/2020,Rosh_Hashana,
27/09/2020,Yom_Kippur,
28/09/2020,Yom_Kippur,
02/10/2020,Sukkot,
03/10/2020,Sukkot,
04/10/2020,Sukkot,
05/10/2020,Sukkot,
06/10/2020,Sukkot,
07/10/2020,Sukkot,
08/10/2020,Sukkot,
09/10/2020,Sukkot,
10/10/2020,Sukkot,
11/10/2020,Sukkot,
11/12/2020,Hanukkah,
12/12/2020,Hanukkah,
13/12/2020,Hanukkah,
14/12/2020,Hanukkah,
15/12/2020,Hanukkah,
16/12/2020,Hanukkah,
17/12/2020,Hanukkah,
18/12/2020,Hanukkah,
28/01/2021,Tu_Bishvat,
25/02/2021,Purim,
26/02/2021,Purim,
