,species,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,is_Male,island_Dream,island_Torgersen,type
0,Adelie,39.1,18.7,181.0,3750.0,1,0,1,0
1,Adelie,39.5,17.4,186.0,3800.0,0,0,1,0
2,Adelie,40.3,18.0,195.0,3250.0,0,0,1,0
3,Adelie,36.7,19.3,193.0,3450.0,0,0,1,0
4,Adelie,39.3,20.6,190.0,3650.0,1,0,1,0
5,Adelie,38.9,17.8,181.0,3625.0,0,0,1,0
6,Adelie,39.2,19.6,195.0,4675.0,1,0,1,0
7,Adelie,41.1,17.6,182.0,3200.0,0,0,1,0
8,Adelie,38.6,21.2,191.0,3800.0,1,0,1,0
9,Adelie,34.6,21.1,198.0,4400.0,1,0,1,0
10,Adelie,36.6,17.8,185.0,3700.0,0,0,1,0
11,Adelie,38.7,19.0,195.0,3450.0,0,0,1,0
12,Adelie,42.5,20.7,197.0,4500.0,1,0,1,0
13,Adelie,34.4,18.4,184.0,3325.0,0,0,1,0
14,Adelie,46.0,21.5,194.0,4200.0,1,0,1,0
15,Adelie,37.8,18.3,174.0,3400.0,0,0,0,0
16,Adelie,37.7,18.7,180.0,3600.0,1,0,0,0
17,Adelie,35.9,19.2,189.0,3800.0,0,0,0,0
18,Adelie,38.2,18.1,185.0,3950.0,1,0,0,0
19,Adelie,38.8,17.2,180.0,3800.0,1,0,0,0
20,Adelie,35.3,18.9,187.0,3800.0,0,0,0,0
21,Adelie,40.6,18.6,183.0,3550.0,1,0,0,0
22,Adelie,40.5,17.9,187.0,3200.0,0,0,0,0
23,Adelie,37.9,18.6,172.0,3150.0,0,0,0,0
24,Adelie,40.5,18.9,180.0,3950.0,1,0,0,0
25,Adelie,39.5,16.7,178.0,3250.0,0,1,0,0
26,Adelie,37.2,18.1,178.0,3900.0,1,1,0,0
27,Adelie,39.5,17.8,188.0,3300.0,0,1,0,0
28,Adelie,40.9,18.9,184.0,3900.0,1,1,0,0
29,Adelie,36.4,17.0,195.0,3325.0,0,1,0,0
30,Adelie,39.2,21.1,196.0,4150.0,1,1,0,0
31,Adelie,38.8,20.0,190.0,3950.0,1,1,0,0
32,Adelie,42.2,18.5,180.0,3550.0,0,1,0,0
33,Adelie,37.6,19.3,181.0,3300.0,0,1,0,0
34,Adelie,39.8,19.1,184.0,4650.0,1,1,0,0
35,Adelie,36.5,18.0,182.0,3150.0,0,1,0,0
36,Adelie,40.8,18.4,195.0,3900.0,1,1,0,0
37,Adelie,36.0,18.5,186.0,3100.0,0,1,0,0
38,Adelie,44.1,19.7,196.0,4400.0,1,1,0,0
39,Adelie,37.0,16.9,185.0,3000.0,0,1,0,0
40,Adelie,39.6,18.8,190.0,4600.0,1,1,0,0
41,Adelie,41.1,19.0,182.0,3425.0,1,1,0,0
42,Adelie,36.0,17.9,190.0,3450.0,0,1,0,0
43,Adelie,42.3,21.2,191.0,4150.0,1,1,0,0
44,Adelie,39.6,17.7,186.0,3500.0,0,0,0,0
45,Adelie,40.1,18.9,188.0,4300.0,1,0,0,0
46,Adelie,35.0,17.9,190.0,3450.0,0,0,0,0
47,Adelie,42.0,19.5,200.0,4050.0,1,0,0,0
48,Adelie,34.5,18.1,187.0,2900.0,0,0,0,0
49,Adelie,41.4,18.6,191.0,3700.0,1,0,0,0
50,Adelie,39.0,17.5,186.0,3550.0,0,0,0,0
51,Adelie,40.6,18.8,193.0,3800.0,1,0,0,0
52,Adelie,36.5,16.6,181.0,2850.0,0,0,0,0
53,Adelie,37.6,19.1,194.0,3750.0,1,0,0,0
54,Adelie,35.7,16.9,185.0,3150.0,0,0,0,0
55,Adelie,41.3,21.1,195.0,4400.0,1,0,0,0
56,Adelie,37.6,17.0,185.0,3600.0,0,0,0,0
57,Adelie,41.1,18.2,192.0,4050.0,1,0,0,0
58,Adelie,36.4,17.1,184.0,2850.0,0,0,0,0
59,Adelie,41.6,18.0,192.0,3950.0,1,0,0,0
60,Adelie,35.5,16.2,195.0,3350.0,0,0,0,0
61,Adelie,41.1,19.1,188.0,4100.0,1,0,0,0
62,Adelie,35.9,16.6,190.0,3050.0,0,0,1,0
63,Adelie,41.8,19.4,198.0,4450.0,1,0,1,0
64,Adelie,33.5,19.0,190.0,3600.0,0,0,1,0
65,Adelie,39.7,18.4,190.0,3900.0,1,0,1,0
66,Adelie,39.6,17.2,196.0,3550.0,0,0,1,0
67,Adelie,45.8,18.9,197.0,4150.0,1,0,1,0
68,Adelie,35.5,17.5,190.0,3700.0,0,0,1,0
69,Adelie,42.8,18.5,195.0,4250.0,1,0,1,0
70,Adelie,40.9,16.8,191.0,3700.0,0,0,1,0
71,Adelie,37.2,19.4,184.0,3900.0,1,0,1,0
72,Adelie,36.2,16.1,187.0,3550.0,0,0,1,0
