Date,Half_Hour,SMP_Value
01/07/2019,00:00,146.47
01/07/2019,00:30,171.22
01/07/2019,01:00,128.82
01/07/2019,01:30,149.85
01/07/2019,02:00,146.53
01/07/2019,02:30,141.33
01/07/2019,03:00,149.72
01/07/2019,03:30,151.09
01/07/2019,04:00,128.66
01/07/2019,04:30,155.33
01/07/2019,05:00,128.51
01/07/2019,05:30,148
01/07/2019,06:00,149.71
01/07/2019,06:30,196.3
01/07/2019,07:00,128.17
01/07/2019,07:30,91.47
01/07/2019,08:00,127.73
01/07/2019,08:30,127.59
01/07/2019,09:00,144.5
01/07/2019,09:30,145.72
01/07/2019,10:00,127.45
01/07/2019,10:30,127.54
01/07/2019,11:00,127.65
01/07/2019,11:30,129.06
01/07/2019,12:00,128.05
01/07/2019,12:30,128.23
01/07/2019,13:00,153
01/07/2019,13:30,193.09
01/07/2019,14:00,193.09
01/07/2019,14:30,193.09
01/07/2019,15:00,193.09
01/07/2019,15:30,193.26
01/07/2019,16:00,193.09
01/07/2019,16:30,193.09
01/07/2019,17:00,193.44
01/07/2019,17:30,193.09
01/07/2019,18:00,193.09
01/07/2019,18:30,198.24
01/07/2019,19:00,194.11
01/07/2019,19:30,194
01/07/2019,20:00,193.09
01/07/2019,20:30,167.61
01/07/2019,21:00,196.3
01/07/2019,21:30,197.1
01/07/2019,22:00,191.81
01/07/2019,22:30,195.36
01/07/2019,23:00,167.64
01/07/2019,23:30,146.08
02/07/2019,00:00,196.3
02/07/2019,00:30,145.46
02/07/2019,01:00,192.31
02/07/2019,01:30,141.75
02/07/2019,02:00,141.61
02/07/2019,02:30,145.86
02/07/2019,03:00,149.91
02/07/2019,03:30,152.13
02/07/2019,04:00,141.98
02/07/2019,04:30,147.49
02/07/2019,05:00,141.51
02/07/2019,05:30,141.51
02/07/2019,06:00,142.32
02/07/2019,06:30,140.8
02/07/2019,07:00,128.09
02/07/2019,07:30,196.3
02/07/2019,08:00,147.1
02/07/2019,08:30,164.26
02/07/2019,09:00,128.46
02/07/2019,09:30,145.93
02/07/2019,10:00,150.27
02/07/2019,10:30,127.83
02/07/2019,11:00,195.36
02/07/2019,11:30,199.24
02/07/2019,12:00,160.51
02/07/2019,12:30,196.74
02/07/2019,13:00,195.25
02/07/2019,13:30,196.18
02/07/2019,14:00,199.93
02/07/2019,14:30,205.37
02/07/2019,15:00,205.07
02/07/2019,15:30,205.46
02/07/2019,16:00,201.25
02/07/2019,16:30,91.47
02/07/2019,17:00,199.76
02/07/2019,17:30,198.95
02/07/2019,18:00,203.04
02/07/2019,18:30,197.77
02/07/2019,19:00,196.83
02/07/2019,19:30,198.7
02/07/2019,20:00,197.4
02/07/2019,20:30,197.24
02/07/2019,21:00,196.3
02/07/2019,21:30,192.31
02/07/2019,22:00,207.8
02/07/2019,22:30,173.14
02/07/2019,23:00,168.43
02/07/2019,23:30,143.09
03/07/2019,00:00,142.57
03/07/2019,00:30,192.31
03/07/2019,01:00,196.81
03/07/2019,01:30,196.81
03/07/2019,02:00,196.81
03/07/2019,02:30,145.79
03/07/2019,03:00,147.58
03/07/2019,03:30,158.21
03/07/2019,04:00,142.13
03/07/2019,04:30,142.92
03/07/2019,05:00,148.92
03/07/2019,05:30,142.41
03/07/2019,06:00,192.31
03/07/2019,06:30,192.31
03/07/2019,07:00,153.03
03/07/2019,07:30,144.32
03/07/2019,08:00,143.76
03/07/2019,08:30,128.03
03/07/2019,09:00,148.31
03/07/2019,09:30,148.94
03/07/2019,10:00,127.94
03/07/2019,10:30,153.57
03/07/2019,11:00,193.09
03/07/2019,11:30,145.16
03/07/2019,12:00,193.09
03/07/2019,12:30,195.36
03/07/2019,13:00,195.45
03/07/2019,13:30,197.74
03/07/2019,14:00,208.11
03/07/2019,14:30,207.61
03/07/2019,15:00,208.73
03/07/2019,15:30,209.05
03/07/2019,16:00,207.03
03/07/2019,16:30,207.6
03/07/2019,17:00,208
03/07/2019,17:30,206.29
03/07/2019,18:00,206.82
03/07/2019,18:30,199.47
03/07/2019,19:00,197.16
03/07/2019,19:30,197.13
03/07/2019,20:00,198.48
03/07/2019,20:30,197.57
03/07/2019,21:00,128.78
03/07/2019,21:30,128.57
03/07/2019,22:00,128.6
03/07/2019,22:30,215.02
03/07/2019,23:00,208.16
03/07/2019,23:30,168.62
04/07/2019,00:00,128.32
04/07/2019,00:30,128.22
04/07/2019,01:00,128.24
04/07/2019,01:30,128.28
04/07/2019,02:00,128.33
04/07/2019,02:30,128.36
04/07/2019,03:00,128.41
04/07/2019,03:30,128.28
04/07/2019,04:00,128.24
04/07/2019,04:30,128.34
04/07/2019,05:00,128.24
04/07/2019,05:30,128.21
04/07/2019,06:00,128.06
04/07/2019,06:30,128.12
04/07/2019,07:00,127.94
04/07/2019,07:30,128.1
04/07/2019,08:00,127.78
04/07/2019,08:30,127.7
04/07/2019,09:00,127.73
04/07/2019,09:30,127.98
04/07/2019,10:00,127.59
04/07/2019,10:30,127.45
04/07/2019,11:00,127.78
04/07/2019,11:30,127.8
04/07/2019,12:00,152.43
04/07/2019,12:30,127.73
04/07/2019,13:00,195.36
04/07/2019,13:30,194.17
04/07/2019,14:00,193.42
04/07/2019,14:30,195.22
04/07/2019,15:00,195.73
04/07/2019,15:30,195.88
04/07/2019,16:00,194.52
04/07/2019,16:30,195.44
04/07/2019,17:00,196.08
04/07/2019,17:30,194.42
04/07/2019,18:00,193.2
04/07/2019,18:30,141.51
04/07/2019,19:00,143.2
04/07/2019,19:30,172.19
04/07/2019,20:00,204.69
04/07/2019,20:30,141.27
04/07/2019,21:00,196.6
04/07/2019,21:30,128.46
04/07/2019,22:00,128.6
04/07/2019,22:30,168.6
04/07/2019,23:00,167.67
04/07/2019,23:30,129.11
05/07/2019,00:00,192.31
05/07/2019,00:30,196.81
05/07/2019,01:00,196.81
05/07/2019,01:30,196.81
05/07/2019,02:00,128.59
05/07/2019,02:30,128.82
05/07/2019,03:00,192.31
05/07/2019,03:30,129.54
05/07/2019,04:00,128.61
05/07/2019,04:30,128.49
05/07/2019,05:00,128.46
05/07/2019,05:30,128.47
05/07/2019,06:00,128.63
05/07/2019,06:30,128.5
05/07/2019,07:00,128.39
05/07/2019,07:30,128.29
