Date,Half_Hour,SMP_Value
01/01/2020,00:00,159.16
01/01/2020,00:30,148.74
01/01/2020,01:00,147.01
01/01/2020,01:30,141.16
01/01/2020,02:00,128.43
01/01/2020,02:30,121.08
01/01/2020,03:00,121.09
01/01/2020,03:30,126.76
01/01/2020,04:00,139.65
01/01/2020,04:30,128.2
01/01/2020,05:00,145.19
01/01/2020,05:30,146.73
01/01/2020,06:00,155.77
01/01/2020,06:30,166.01
01/01/2020,07:00,155.58
01/01/2020,07:30,152.25
01/01/2020,08:00,162.47
01/01/2020,08:30,161.33
01/01/2020,09:00,155.92
01/01/2020,09:30,154.51
01/01/2020,10:00,152.2
01/01/2020,10:30,150.22
01/01/2020,11:00,149.68
01/01/2020,11:30,149.06
01/01/2020,12:00,149.21
01/01/2020,12:30,149.37
01/01/2020,13:00,150.94
01/01/2020,13:30,152.55
01/01/2020,14:00,151.17
01/01/2020,14:30,153.59
01/01/2020,15:00,160.87
01/01/2020,15:30,140.34
01/01/2020,16:00,121.07
01/01/2020,16:30,140.56
01/01/2020,17:00,157.15
01/01/2020,17:30,151.9
01/01/2020,18:00,151.9
01/01/2020,18:30,151.29
01/01/2020,19:00,151.29
01/01/2020,19:30,151.29
01/01/2020,20:00,151.29
01/01/2020,20:30,151.9
01/01/2020,21:00,161.89
01/01/2020,21:30,153.22
01/01/2020,22:00,154.55
01/01/2020,22:30,159.7
01/01/2020,23:00,161.42
01/01/2020,23:30,158.26
02/01/2020,00:00,165.01
02/01/2020,00:30,165.01
02/01/2020,01:00,150.79
02/01/2020,01:30,139.41
02/01/2020,02:00,127.72
02/01/2020,02:30,121.09
02/01/2020,03:00,121.09
02/01/2020,03:30,121.09
02/01/2020,04:00,129.6
02/01/2020,04:30,147.49
02/01/2020,05:00,154.25
02/01/2020,05:30,150.11
02/01/2020,06:00,154.72
02/01/2020,06:30,163.91
02/01/2020,07:00,158.37
02/01/2020,07:30,155.14
02/01/2020,08:00,160.97
02/01/2020,08:30,163.45
02/01/2020,09:00,158.2
02/01/2020,09:30,155.75
02/01/2020,10:00,155.2
02/01/2020,10:30,155.47
02/01/2020,11:00,154.16
02/01/2020,11:30,152.6
02/01/2020,12:00,153.08
02/01/2020,12:30,153.52
02/01/2020,13:00,154
02/01/2020,13:30,154.42
02/01/2020,14:00,159.36
02/01/2020,14:30,152.94
02/01/2020,15:00,153.63
02/01/2020,15:30,148.4
02/01/2020,16:00,153.36
02/01/2020,16:30,165.01
02/01/2020,17:00,132.84
02/01/2020,17:30,163.15
02/01/2020,18:00,187.97
02/01/2020,18:30,189.51
02/01/2020,19:00,191.47
02/01/2020,19:30,190.99
02/01/2020,20:00,162.55
02/01/2020,20:30,162.55
02/01/2020,21:00,151.04
02/01/2020,21:30,165.01
02/01/2020,22:00,164.55
02/01/2020,22:30,165.01
02/01/2020,23:00,164.26
02/01/2020,23:30,164.26
03/01/2020,00:00,165.01
03/01/2020,00:30,125.48
03/01/2020,01:00,117.22
03/01/2020,01:30,115.21
03/01/2020,02:00,109.84
03/01/2020,02:30,109.05
03/01/2020,03:00,108.98
03/01/2020,03:30,108.9
03/01/2020,04:00,109.54
03/01/2020,04:30,110.17
03/01/2020,05:00,116.72
03/01/2020,05:30,117.7
03/01/2020,06:00,117.34
03/01/2020,06:30,122.77
03/01/2020,07:00,116.96
03/01/2020,07:30,117.18
03/01/2020,08:00,122.45
03/01/2020,08:30,123.03
03/01/2020,09:00,121.79
03/01/2020,09:30,123.97
03/01/2020,10:00,124.86
03/01/2020,10:30,123.4
03/01/2020,11:00,165.01
03/01/2020,11:30,165.01
03/01/2020,12:00,163.17
03/01/2020,12:30,127.41
03/01/2020,13:00,163.17
03/01/2020,13:30,148.7
03/01/2020,14:00,119.32
03/01/2020,14:30,144.12
03/01/2020,15:00,163.55
03/01/2020,15:30,163.55
03/01/2020,16:00,144.09
03/01/2020,16:30,147.71
03/01/2020,17:00,144.09
03/01/2020,17:30,144.09
03/01/2020,18:00,144.08
03/01/2020,18:30,118.88
03/01/2020,19:00,125.03
03/01/2020,19:30,121.66
03/01/2020,20:00,127.69
03/01/2020,20:30,126.71
03/01/2020,21:00,127.14
03/01/2020,21:30,126.77
03/01/2020,22:00,121.04
03/01/2020,22:30,120.24
03/01/2020,23:00,120.47
03/01/2020,23:30,121.53
04/01/2020,00:00,150.52
04/01/2020,00:30,151.61
04/01/2020,01:00,152.05
04/01/2020,01:30,150.55
04/01/2020,02:00,144.93
04/01/2020,02:30,139.17
04/01/2020,03:00,138.89
04/01/2020,03:30,138.59
04/01/2020,04:00,139.07
04/01/2020,04:30,139.53
04/01/2020,05:00,147.33
04/01/2020,05:30,151.4
04/01/2020,06:00,148.37
04/01/2020,06:30,149.24
04/01/2020,07:00,153.41
04/01/2020,07:30,155.32
04/01/2020,08:00,155.32
04/01/2020,08:30,155.32
04/01/2020,09:00,155.32
04/01/2020,09:30,161.52
04/01/2020,10:00,160.49
04/01/2020,10:30,161.73
04/01/2020,11:00,161.8
04/01/2020,11:30,162.08
04/01/2020,12:00,165.09
04/01/2020,12:30,161.13
04/01/2020,13:00,165.35
04/01/2020,13:30,165.35
04/01/2020,14:00,165.35
04/01/2020,14:30,164.48
04/01/2020,15:00,165.35
04/01/2020,15:30,165.35
04/01/2020,16:00,165.35
04/01/2020,16:30,165.35
04/01/2020,17:00,165.35
04/01/2020,17:30,132.78
04/01/2020,18:00,167.3
04/01/2020,18:30,193.33
04/01/2020,19:00,191.03
04/01/2020,19:30,191.06
04/01/2020,20:00,162.77
04/01/2020,20:30,162.77
04/01/2020,21:00,132.52
04/01/2020,21:30,165.35
04/01/2020,22:00,164.01
04/01/2020,22:30,163.57
04/01/2020,23:00,158.51
04/01/2020,23:30,158.64
05/01/2020,00:00,157.19
05/01/2020,00:30,152.87
05/01/2020,01:00,150.79
05/01/2020,01:30,140.18
05/01/2020,02:00,139.46
05/01/2020,02:30,129.01
05/01/2020,03:00,129.01
05/01/2020,03:30,128.94
05/01/2020,04:00,140.1
05/01/2020,04:30,148.29
05/01/2020,05:00,151.75
05/01/2020,05:30,149.54
05/01/2020,06:00,153.54
05/01/2020,06:30,165.01
05/01/2020,07:00,141.26
05/01/2020,07:30,137.93
05/01/2020,08:00,143.72
05/01/2020,08:30,144.46
05/01/2020,09:00,143.62
05/01/2020,09:30,141.45
05/01/2020,10:00,138.85
05/01/2020,10:30,138.66
05/01/2020,11:00,138.66
05/01/2020,11:30,136.13
05/01/2020,12:00,135.58
05/01/2020,12:30,137.61
05/01/2020,13:00,138.36
05/01/2020,13:30,141.3
05/01/2020,14:00,136.38
05/01/2020,14:30,141.66
05/01/2020,15:00,142.06
05/01/2020,15:30,136.6
05/01/2020,16:00,141.07
05/01/2020,16:30,142.81
05/01/2020,17:00,190.05
05/01/2020,17:30,190.82
05/01/2020,18:00,188.3
05/01/2020,18:30,190.7
05/01/2020,19:00,191.58
05/01/2020,19:30,189.33
05/01/2020,20:00,189.62
05/01/2020,20:30,187.9
05/01/2020,21:00,189.76
05/01/2020,21:30,165.01
05/01/2020,22:00,165.01
05/01/2020,22:30,144.06
05/01/2020,23:00,164.54
05/01/2020,23:30,153.15
06/01/2020,00:00,140.49
06/01/2020,00:30,132.57
06/01/2020,01:00,136.03
06/01/2020,01:30,129.73
06/01/2020,02:00,117.22
06/01/2020,02:30,116.15
06/01/2020,03:00,124.5
06/01/2020,03:30,124.69
06/01/2020,04:00,133.71
06/01/2020,04:30,137.95
06/01/2020,05:00,140.31
06/01/2020,05:30,136.24
06/01/2020,06:00,165.01
06/01/2020,06:30,185
06/01/2020,07:00,165.01
06/01/2020,07:30,165.01
06/01/2020,08:00,165.01
06/01/2020,08:30,165.01
06/01/2020,09:00,165.01
06/01/2020,09:30,157.59
06/01/2020,10:00,156.22
06/01/2020,10:30,133.39
