date,amount,currency,merchant,description,id,reportedBalance
21/04/2023,-100,USD,STAMPS.COM *USPOSTAG TX 04/21,,zDDJAAJz8aUXr0jwQgdEskqaPM8N5zFMEyoby,707.03
21/04/2023,-100,USD,STAMPS.COM *USPOSTAG TX 04/21,,m55BddBz3kumA6JP41jqtne1a8pkb6t8pkX1w,707.03
21/04/2023,-159,USD,REVIEWS.IO HTTPSWWW.REVI CA 04/21,,ejjdzzdNwDUn3ZPJv9EqIgp8x4DJaKs46rp3Z,707.03
21/04/2023,-100,USD,STAMPS.COM *USPOSTAG TX 04/21,,d00b55bNdLHvA8MRqn0rIgm8Dk43rBsoZJBaz,707.03
21/04/2023,-100,USD,STAMPS.COM *USPOSTAG TX 04/21,,666MVVM1petvnbPKmLoVIxwk5o84BOFA71PX4,707.03
21/04/2023,-100,USD,STAMPS.COM *USPOSTAG TX 04/21,,www4yy4zaRiErkgOb0dZIJz3NRMPepCRApVB7,707.03
21/04/2023,-50,USD,STAMPS.COM *USPOSTAG TX 04/21,,YDD0QQ0NzXUzmKXqkVe7iZyeqL1B4nUzmPyM5,707.03
20/04/2023,197.1,USD,ORIG CO NAME:STRIPE ORIG ID:1800948598 DESC DATE: CO ENTRY DESCR:TRANSFER SEC:CCD TRACE#:091000013086092 EED:230420 IND ID:ST-M2R2W5N1Q6U9 IND NAME:ELEVATE NUTRITION INC TRN: 1103086092TC,,d00b55bNdLHvA8MRqn04CvR8Q0A1b1IQKjJap,707.03
19/04/2023,252.73,USD,ORIG CO NAME:STRIPE ORIG ID:1800948598 DESC DATE: CO ENTRY DESCR:TRANSFER SEC:CCD TRACE#:091000015365107 EED:230419 IND ID:ST-B0D1S8V7E3R8 IND NAME:ELEVATE NUTRITION INC TRN: 1095365107TC,,www4yy4zaRiErkgOb0dDCDn3Qm6ZoZUvKopBo,1218.93
18/04/2023,67.02,USD,ORIG CO NAME:STRIPE ORIG ID:1800948598 DESC DATE: CO ENTRY DESCR:TRANSFER SEC:CCD TRACE#:091000012782265 EED:230418 IND ID:ST-P4I8P2F0O0B4 IND NAME:ELEVATE NUTRITION INC TRN: 1082782265TC,,YDD0QQ0NzXUzmKXqkVerhO9VQmDbwmHqnK0gv,966.2
18/04/2023,519.56,USD,ORIG CO NAME:PAYABILITY ORIG ID:1471817501 DESC DATE: CO ENTRY DESCR:EDI PYMNTSSEC:CCD TRACE#:091000010342838 EED:230418 IND ID:d1z0z5j6v8 IND NAME:Elevate Nutrition Inc. EDI TRN: 1080342838TC,,zDDJAAJz8aUXr0jwQgd9TgvDbBXenBinz6gqQ,966.2
17/04/2023,-19.99,USD,STAMPS.COM TX 04/15,,911MOOMBpxHV6Q9dxzMmhaKXEDO60ot6OBjOQ,430.62
17/04/2023,-237.69,USD,ORIG CO NAME:ONDECK CAPITAL13 ORIG ID:1863052343 DESC DATE:230417 CO ENTRY DESCR:00016098 SEC:CCD TRACE#:113024161056643 EED:230417 IND ID:66998138 IND NAME:ELEVATE NUTRITION INC. TRN: 1071056643TC,,7LLzVVzPext0dZE5aRYjspvwQj3qXnt8dLMdx,430.62
17/04/2023,-51,USD,CloudwaysLTD Mosta 04/11,,Vwwk55kNzXimLB9e3poxuP5v7Qk1BOCnyxAyA,430.62
14/04/2023,120.4,USD,ORIG CO NAME:STRIPE ORIG ID:1800948598 DESC DATE: CO ENTRY DESCR:TRANSFER SEC:CCD TRACE#:091000015825263 EED:230414 IND ID:ST-W3B5H3N2S8B5 IND NAME:ELEVATE NUTRITION INC TRN: 1045825263TC,,DjjMooMazxU1A8kr5dMnCnpoMbjMZNIXjPVqK,637.3
14/04/2023,-1001.56,USD,ORIG CO NAME:8FIG INC ORIG ID:9352688246 DESC DATE:230414 CO ENTRY DESCR:4383c41RDBSEC:CCD TRACE#:121140391228900 EED:230414 IND ID:341688105457689 IND NAME:ELEVATE NUTRITION INC TRN: 1041228900TC,,L556oo6gzquAd615yBzaIamxMeDMydcJk1mPO,637.3
13/04/2023,-100,USD,STAMPS.COM *USPOSTAG TX 04/13,,1VVMEEMdpnHVBxnJ9rLeS0EZAayXjXCg8ra9p,1518.46
13/04/2023,142.77,USD,ORIG CO NAME:STRIPE ORIG ID:1800948598 DESC DATE: CO ENTRY DESCR:TRANSFER SEC:CCD TRACE#:091000013757262 EED:230413 IND ID:ST-T9S9G6K7G1B2 IND NAME:ELEVATE NUTRITION INC TRN: 1033757262TC,,P77PooPNzKur963vLkdxUPVqv7aArACA35pEZ,1518.46
13/04/2023,356.74,USD,ORIG CO NAME:PAYABILITY ORIG ID:1471817501 DESC DATE: CO ENTRY DESCR:EDI PYMNTSSEC:CCD TRACE#:091000013807765 EED:230413 IND ID:a9u2s9w1j7 IND NAME:Elevate Nutrition Inc. EDI TRN: 1033807765TC,,q77kDDkzAruq8P4ob39mSwLzgNxJBJcEv58gQ,1518.46
13/04/2023,-912.79,USD,DPI DIRECT CA 04/12,,DjjMooMazxU1A8kr5dM7uZKJj5XRLRHR3QAm1,1518.46
13/04/2023,-65.03,USD,KLAVIYO INC. SOFTWARE KLAVIYO.COM MA 04/12,,L556oo6gzquAd615yBzOhyPKDwLBoBuB4jEVL,1518.46
12/04/2023,68.58,USD,ORIG CO NAME:STRIPE ORIG ID:1800948598 DESC DATE: CO ENTRY DESCR:TRANSFER SEC:CCD TRACE#:091000017335184 EED:230412 IND ID:ST-D3G5I6P3X5E4 IND NAME:ELEVATE NUTRITION INC TRN: 1027335184TC,,AAAMVVMjz8soXYR7KNLPcd5jNBreRQfnORJZJ,1018.95
12/04/2023,1000,USD,Online Transfer from SAV ...5315 transaction#: 17069225879,,099MeeM7pntVqPr1QJ5KTJomeRvd0YCvD0Xxa,1018.95
12/04/2023,500,USD,Online Transfer from SAV ...5315 transaction#: 17069229825,,vddr33rz4gtYrKmEbvORcrkVBKnZpaC0v5DYJ,1018.95
11/04/2023,512.62,USD,ORIG CO NAME:STRIPE ORIG ID:1800948598 DESC DATE: CO ENTRY DESCR:TRANSFER SEC:CCD TRACE#:091000017638985 EED:230411 IND ID:ST-U1W4I4A2K4E7 IND NAME:ELEVATE NUTRITION INC TRN: 1017638985TC,,NbbDooDNz3H05dr3wyqbSONkYQq8O7hynJNQ8,528.19
10/04/2023,-45,USD,ORIG CO NAME:CHASE CREDIT CRD ORIG ID:4760039224 DESC DATE:230409 CO ENTRY DESCR:AUTOPAYBUSSEC:PPD TRACE#:021000027971347 EED:230410 IND ID: IND NAME:SALOMONE PAUL S TRN: 1007971347TC,,YDD0QQ0NzXUzmKXqkV1Pi8O7n41r8YCzjxAYj,66.57
10/04/2023,-40.1,USD,ORIG CO NAME:STRIPE ORIG ID:1800948598 DESC DATE: CO ENTRY DESCR:TRANSFER SEC:CCD TRACE#:091000014404237 EED:230410 IND ID:ST-G0M3Q7D2Z0J2 IND NAME:ELEVATE NUTRITION INC TRN: 1004404237TC,,zDDJAAJz8aUXr0jwQgN7sZgRz589Z6tMYZpR3,66.57
10/04/2023,-92.12,USD,ORIG CO NAME:INTUIT * ORIG ID:0000756346 DESC DATE:230408 CO ENTRY DESCR:QBooks OnlSEC:WEB TRACE#:021000024276545 EED:230410 IND ID:1496626 IND NAME:PAUL SALOMONE TRN: 1004276545TC,,m55BddBz3kumA6JP41YEIq7N6bpdqPu8YDoQR,66.57
10/04/2023,-915.01,USD,ORIG CO NAME:PNC BANK NA ORIG ID:9044036101 DESC DATE:230407 CO ENTRY DESCR:ONLINE PMTSEC:CCD TRACE#:043305134656334 EED:230410 IND ID:043000099664240 IND NAME:1400310000036648062670 TELECHK TRN: 1004656334TC,,d00b55bNdLHvA8MRqn5PSE9XBr4NEwSop3zLg,66.57
10/04/2023,-237.69,USD,ORIG CO NAME:ONDECK CAPITAL13 ORIG ID:1863052343 DESC DATE:230410 CO ENTRY DESCR:00015911 SEC:CCD TRACE#:113024169782282 EED:230410 IND ID:66839422 IND NAME:ELEVATE NUTRITION INC. TRN: 1009782282TC,,ejjdzzdNwDUn3ZPJv90aIAjmKaDeAbH4oJyY5,66.57
10/04/2023,-24,USD,FREEPIK & FLATICON MALAGA 04/07,,www4yy4zaRiErkgOb0xPI05jpeMY0OFRX6m36,66.57
10/04/2023,1500,USD,Online Transfer from SAV ...5315 transaction#: 17051726024,,666MVVM1petvnbPKmLrdSNYpOB8ZNaCAKoQjZ,66.57
07/04/2023,149.31,USD,ORIG CO NAME:STRIPE ORIG ID:1800948598 DESC DATE: CO ENTRY DESCR:TRANSFER SEC:CCD TRACE#:091000013190214 EED:230407 IND ID:ST-Y5E1J6Q1A9I2 IND NAME:ELEVATE NUTRITION INC TRN: 0973190214TC,,pggKLLKzkxh0J1rabBkKtkX3jaDzYvs4dYVJr,-103.51
