property_id,host_id,guest_id,total_listings,availability,neighbourhood,type,price,amenities,booked_nights,stay_nights,propery_reviews,last_review,complaint
544231,214561,618055,1,300,De Pijp - Rivierenbuurt,Entire home,132,[Towels; Wifi; Bed linens; Kitchen; Smoke alarm; Heating; Hot water; Hair dryer; Hangers; Dishes and silverware; Refrigerator; Coffee maker; Shampoo; Iron; Cooking basics; Washer; Fire extinguisher; Oven; Private entrance; Dishwasher; Microwave; Stove; TV; Extra pillows and blankets; Dryer; Luggage dropoff allowed; Shower gel; Cleaning products; Dedicated workspace; Dining table; Wine glasses; Hot water kettle; Freezer; Room-darkening shades; Body soap; Waterfront; Drying rack for clothing; Laundromat nearby; Single level home; Central heating; Conditioner; Baking sheet; Board games; Free dryer; Clothing storage; ],1,1,4,3--May--2022,0
544484,455329,600417,1,81,De Pijp - Rivierenbuurt,Entire home,210,[Wifi; Kitchen; Smoke alarm; Washer; Carbon monoxide alarm; First aid kit; TV; Dedicated workspace; Outdoor dining area; ],2,2,4,16--May--2022,0
544515,208992,584498,5,164,De Pijp - Rivierenbuurt,Private room,191,[Wifi; Smoke alarm; Carbon monoxide alarm; ],1,1,1,12--May--2022,0
544878,290170,569897,12,358,Geuzenveld - Slotermeer,Shared room,51,[Towels; Wifi; Bed linens; Smoke alarm; Heating; Hot water; Long term stays allowed; Refrigerator; Coffee maker; Shampoo; Fire extinguisher; Microwave; Dedicated workspace; ],1,1,4,15--March--2022,1
545111,213752,633596,7,282,Centrum-Oost,Shared room,79,[Wifi; Smoke alarm; Carbon monoxide alarm; Fire extinguisher; Patio or balcony; ],1,1,1,28--April--2022,1
545233,451349,611597,1,40,Noord-Oost,Entire home,374,[Towels; Wifi; Bed linens; Kitchen; Smoke alarm; Heating; Hot water; Hair dryer; Dishes and silverware; Refrigerator; Coffee maker; Iron; Cooking basics; Washer; Fire extinguisher; Oven; Private entrance; Dishwasher; TV; Dryer; Cleaning products; Dedicated workspace; Dining table; Wine glasses; Patio or balcony; Freezer; Outdoor furniture; Bathtub; Waterfront; Drying rack for clothing; Outdoor dining area; Lockbox; Backyard; Free parking on premises; High chair; BBQ grill; Central heating; Free dryer; Indoor fireplace; Barbecue utensils; Lake access; Sound system; Fire pit; Boat slip; ],3,3,1,7--April--2022,1
545483,249923,568442,5,60,Centrum-Oost,Entire home,348,[Towels; Wifi; Bed linens; Smoke alarm; Heating; Hot water; Hair dryer; Hangers; Dishes and silverware; Long term stays allowed; Refrigerator; Coffee maker; Shampoo; Iron; Washer; Carbon monoxide alarm; Fire extinguisher; First aid kit; Private entrance; TV; Extra pillows and blankets; Dryer; Standard cable; Luggage dropoff allowed; Paid parking off premises; Shower gel; Cleaning products; Dedicated workspace; Dining table; Wine glasses; Hot water kettle; Outdoor furniture; Bathtub; Body soap; Drying rack for clothing; Outdoor dining area; Air conditioning; Nespresso machine; Conditioner; EV charger; Security cameras; Mini fridge; Clothing storage; Bikes; Netflix; Building staff; Game console; Sound system; Premium cable; ],1,1,11,19--May--2022,0
545745,405716,579560,1,181,Bos en Lommer,Entire home,150,[Towels; Wifi; Bed linens; Kitchen; Smoke alarm; Heating; Hot water; Hair dryer; Dishes and silverware; Long term stays allowed; Refrigerator; Coffee maker; Cooking basics; Washer; Carbon monoxide alarm; Oven; First aid kit; Dishwasher; Stove; TV; Extra pillows and blankets; Dryer; Cleaning products; Dedicated workspace; Dining table; Wine glasses; Patio or balcony; Freezer; Drying rack for clothing; Laundromat nearby; Toaster; Nespresso machine; Central heating; Free dryer; Bikes; ],2,2,3,27--May--2022,0
546254,488399,775695,3,280,Centrum-Oost,Entire home,303,[Towels; Wifi; Bed linens; Kitchen; Smoke alarm; Heating; Hot water; Hair dryer; Hangers; Dishes and silverware; Long term stays allowed; Refrigerator; Coffee maker; Cooking basics; Washer; Fire extinguisher; Oven; Stove; TV; Dryer; Standard cable; Paid parking off premises; Dedicated workspace; Bathtub; Waterfront; ],7,7,1,13--May--2022,1
546498,458833,774836,1,124,Centrum-Oost,Entire home,250,[Towels; Wifi; Bed linens; Kitchen; Smoke alarm; Heating; Hot water; Hair dryer; Hangers; Dishes and silverware; Long term stays allowed; Refrigerator; Coffee maker; Shampoo; Iron; Cooking basics; Washer; Carbon monoxide alarm; Fire extinguisher; Oven; First aid kit; Private entrance; Dishwasher; Microwave; Stove; Dryer; Luggage dropoff allowed; Shower gel; Cleaning products; Dedicated workspace; Dining table; Wine glasses; Patio or balcony; Hot water kettle; Freezer; Room-darkening shades; Body soap; Drying rack for clothing; Lockbox; Backyard; Toaster; Central heating; Conditioner; Baking sheet; Board games; Free washer ; Elevator; Street parking; Free dryer; Clothing storage; Sound system; ],2,2,1,30--May--2022,0
