date,amount,currency,merchant,description,id,reportedBalance,,
17/04/2023,-84.07,USD,4398dc1RDB,,mx1rMa0MgoIRwQyeXbydSoYV8vyBKQi88pNXo,420.68,,
17/04/2023,-7.35,USD,INST XFER,,Le3dQ0jQmwHmxOKYb0KEhyM4gYeMnBUmNLaEY,420.68,,
17/04/2023,103.12,USD,ACH transfer from Sezzle,,6g5NAzKABasqx45D615jcEgQ68DgArhyqemdD,420.68,,
17/04/2023,-204,USD,USPS STAMPS ENDICIA,,wV09Po8PjDCpKJvqYDvnImnxXMLn8oCyOEgwj,420.68,,
17/04/2023,76.66,USD,ACH transfer from AFTERPAY 1217,,zY4j3vV3oqHPYobyeAbOFxd1MBbvE4tMMEKoX,420.68,,
16/04/2023,51.16,USD,Shopify Payments payout,,dKE4ZAPZgRip31o7X4ovCKpepMMydPcKDzYVo,237.58,,
16/04/2023,32.77,USD,Shopify Payments payout,,o8mVRBOR1JtkJdv7zZv9F1Y9vwaPqBTrkEZav,237.58,,
16/04/2023,-9.99,USD,UBER PASS,,wV09Po8PjDCpKJvqYDvEC1q9qVVLvysKrmQqv,237.58,,
16/04/2023,-27.57,USD,Little Caesar's,,6g5NAzKABasqx45D615vh7VLVmmDnvSwYQ8ky,237.58,,
16/04/2023,-20.01,USD,WILL CLAYTON VALERO,,Le3dQ0jQmwHmxOKYb0KAukoXovve0PSZ8kqDd,237.58,,
15/04/2023,-79.9,USD,T-SHIRTS & MORE,,yYroB38B7PHPYm1ogX1MfN9qN8zQ0Xtg5vgZ4,504.08,,
15/04/2023,-12,USD,USPS STAMPS ENDICIA,,q53Ydj8dwJIXVm17BD1MC0Lv0yEQkpUEK7Epj,504.08,,
15/04/2023,-16.07,USD,Amazon,,jr609vk9dbUAj1L9OvLrHVMzVdExoJtjpJj6n,504.08,,
15/04/2023,-10,USD,USPS STAMPS ENDICIA,,royKwx8w7JcAmvrB71rMHqEmqR9Np3FwQzwRk,504.08,,
15/04/2023,-10,USD,USPS STAMPS ENDICIA,,DewvgnBgQAHJB7LQjNLwuQKmQDN1orCRk9Rb4,504.08,,
15/04/2023,-402.14,USD,WWW.EZENANA.COM,,dKE4ZAPZgRip31o7X4oKuNPJNZAqXYtQZxQOP,504.08,,
15/04/2023,-14.58,USD,Amazon,,v9v51m81oLU8AwpPjepMC3AP3gapwJh0aA044,504.08,,
15/04/2023,-15.78,USD,Michaels,,KeB5RO0R9dHDOByEx9ypIkXAkRPQoafmP6mwr,504.08,,
15/04/2023,-131.2,USD,S W TRADING/ACCSSRY PLZ,,BenEoQPoNKHMr5w0N3wJUK54K09ynXT7Kr7Eo,504.08,,
15/04/2023,-120,USD,USPS STAMPS ENDICIA,,AeQB5p15myH4rMdg8Jdxt7Lq7bQRVOinLznDy,504.08,,
15/04/2023,-33,USD,USPS STAMPS ENDICIA,,18aNBZPBzvt6pea04daDH5E75PKMYBigkegNv,504.08,,
15/04/2023,-10,USD,USPS STAMPS ENDICIA,,k4L0VvAVwZIDne0YAN04I4gP4vKk15Iv8nvO5,504.08,,
15/04/2023,-15,USD,Amazon,,Le3dQ0jQmwHmxOKYb0KpHqPVq7d4xbFBznBgb,504.08,,
15/04/2023,-55.75,USD,JS COLLECTION,,35JvyxByOmIEpRJ4e6JPUdq1deA6KbCANRAyp,504.08,,
15/04/2023,-41.7,USD,LING'S BUFFET,,0J45qb1qEAHwdy4veA4LCP9qPjY0X1IvYmvwq,504.08,,
15/04/2023,-60.5,USD,PERFUMEWALLA,,wV09Po8PjDCpKJvqYDvMuYybYd6xj4CvAjvN9,504.08,,
15/04/2023,-23.82,USD,EL TELAR,,PeADLdnLZ1HMEx0K1Y0AUyVEyBk0R5cAzBAPz,504.08,,
15/04/2023,30.77,USD,Shopify Payments payout,,ZwZ3AenAv0tmb7oBNEowHym9MzJN44u8jL4p8,504.08,,
15/04/2023,-34.45,USD,Amazon,,6g5NAzKABasqx45D6153CZvPZzjQp9tN74NRM,504.08,,
14/04/2023,-28.54,USD,Walmart,,Qev1DwXDQPH1dQjJeYjqhvE9bjyeRmH447xKy,-582.6,,
14/04/2023,71.9,USD,Shopify Payments payout,,OekL65n60DHBL7vQxYvguMYN4x5Jn5hpLJKrL,-582.6,,
14/04/2023,5,USD,Shopify Payments payout,,Qev1DwXDQPH1dQjJeYjqhYM9JOrqert930mXk,-582.6,,
14/04/2023,154.43,USD,Shopify Payments payout,,nJPxERjEDbHKAJremwr4Sory9zn5mvfppEkxA,-582.6,,
14/04/2023,-44.28,USD,Walmart,,MeywdrndA6HrPXkO0xkLC35amE0doXsppJKNL,-582.6,,
14/04/2023,-10,USD,STAMPS.COM *USPOSTAGE,,Veav3yn3AKH6AvJrQEJks0rB7eLKdDUjjyMpZ,-582.6,,
14/04/2023,-50.12,USD,Shopify Payments payout,,Ee6A71m7JvH8reD1XODLuQr7Exm4bmcdj1B3V,-582.6,,
14/04/2023,-20,USD,USPS STAMPS ENDICIA,,Re0P16n14qH7K6r3QYrBSaKD3vYR8kIqqLZk8,-582.6,,
14/04/2023,107.43,USD,Shopify Payments payout,,9VgzjKvj96Cy53gNEjgPSBj0Ozod7of65pbYQ,-582.6,,
14/04/2023,33.72,USD,Shopify Payments payout,,jr609vk9dbUAj1L9OvLVsVoKKoob1EfjxyaeJ,-582.6,,
14/04/2023,351.28,USD,Shopify Payments payout,,b3OvJ1DJKnh5KZEVMvE1iLz89JXOyXCPB870z,-582.6,,
14/04/2023,-5.15,USD,WONATRADING,,Ee6A71m7JvH8reD1XODLuRv79LVbY8Hnn9oAe,-582.6,,
14/04/2023,150.48,USD,ACH transfer from Sezzle,,9VgzjKvj96Cy53gNEjgPSYx0EQZ7rwixxO9Mj,-582.6,,
14/04/2023,-25.5,USD,WONATRADING,,OekL65n60DHBL7vQxYvguP8NvernAaCggnOAQ,-582.6,,
14/04/2023,33.87,USD,Shopify Payments payout,,aBVXx1LxbJI5PRMmyoMbiPvwwvvj40U16LN7j,-582.6,,
14/04/2023,-94.06,USD,4383c41RDB,,nJPxERjEDbHKAJremwr4SELyBO6P56UjOLeDQ,-582.6,,
14/04/2023,72.18,USD,Shop Pay Installments payout,,MeywdrndA6HrPXkO0xkLCZAaPVDLdDt04m3xv,-582.6,,
13/04/2023,-54.11,USD,INST XFER,,0J45qb1qEAHwdy4veA4NsPpPBK5aoAtvAvV90,719.92,,
13/04/2023,-71.5,USD,PERFUMEWALLA,,Veav3yn3AKH6AvJrQEJ9UN8p5ymdm3InoojaE,719.92,,
13/04/2023,103.98,USD,ACH transfer from Sezzle,,77onvNkvgdIMqkp19VpEFLDgvEkKkZt8665zq,719.92,,
13/04/2023,-75,USD,EXPO WHOLESALE & IMPORT,,MeywdrndA6HrPXkO0xkAuZYzy79o9AI0zzpPg,719.92,,
13/04/2023,134.73,USD,ACH transfer from AFTERPAY 1217,,k4L0VvAVwZIDne0YAN0wu4Z4J6MoEBCvov3bA,719.92,,
13/04/2023,-73.74,USD,A GIFT OF HEALTH,,OekL65n60DHBL7vQxYvPHMj9kXQAQYspmmg4a,719.92,,
13/04/2023,-52,USD,USPS STAMPS ENDICIA,,nJPxERjEDbHKAJremwrnFEqdXDMmMLHjwwp7K,719.92,,
13/04/2023,244.19,USD,Shop Pay Installments payout,,AeQB5p15myH4rMdg8Jd1h7E76Yx85oTnMnbwe,719.92,,
13/04/2023,-35,USD,CASH APP*SHAWNDALE,,9VgzjKvj96Cy53gNEjg9FBgVK93r3jU6ZZxrV,719.92,,
13/04/2023,-23.49,USD,Starbucks,,Qev1DwXDQPH1dQjJeYjMCYVapdARAMI9aa4JY,719.92,,
13/04/2023,-32.95,USD,INST XFER,,v9v51m81oLU8AwpPjepys3M3NY8okLt0V0kp1,719.92,,
13/04/2023,-165.82,USD,XFINITY MOBILE,,Re0P16n14qH7K6r3QYrPFMVjpdX8X5s9jjq1v,719.92,,
13/04/2023,-31.96,USD,AVIVA WHOLESALE,,Ee6A71m7JvH8reD1XODdHQqXgzOYOrSdXXnE1,719.92,,
12/04/2023,-546,USD,S W TRADING/ACCSSRY PLZ,,q53Ydj8dwJIXVm17BD13U06mKve3Natx51L9A,27.35,,
12/04/2023,46.14,USD,Shopify Payments payout,,ZwZ3AenAv0tmb7oBNEopFKq6K5R8vpCkAAwgY,27.35,,
12/04/2023,82.13,USD,Shopify Payments payout,,nJPxERjEDbHKAJremwr1TowLVAADxbcB8rzDg,27.35,,
12/04/2023,193.92,USD,ACH transfer from AFTERPAY 1217,,mx1rMa0MgoIRwQyeXby1cZ54mE1vQaUvjZ3NB,27.35,,
12/04/2023,46.02,USD,Shopify Payments payout,,DewvgnBgQAHJB7LQjNLdSQEAbmzV5YtzQXE4g,27.35,,
12/04/2023,27.24,USD,Shopify Payments payout,,gvn9bg3bAJfA9rgenKgZFmNm5dvXBDiKeNYE7,27.35,,
12/04/2023,-0.33,USD,INST XFER,,18aNBZPBzvt6pea04darF5gmO719abcorYJyE,27.35,,
12/04/2023,-10.3,USD,CASH APP*EVAN J HOR,,PeADLdnLZ1HMEx0K1Y0kfyjQ1E9M7xHa5O8RK,27.35,,
11/04/2023,188.79,USD,ACH transfer from AFTERPAY 1217,,Re0P16n14qH7K6r3QYr1iMQN599P6mu9Mdd5Z,-371.19,,
