ComNum,Nested,Name (click to view profile),Profile ID,Date,Likes,Stars,Comment,(view source)
1,,יעל אליהו,ID: 100005458360575,12/04/2021 17:31,0,,עצוב רפואה שלמה אמן????,view comment
2,,סתיו סמנה סולטר,ID: 100000189085613,12/04/2021 17:32,8,,"מכעיס ומטריף את המוח, אנשים שנתנו את השנים היפות שלהם לצהל נזרקים ממדרגות משרד הביטחון. אבדנו את זה לגמרי.",view comment
,2-1,צביקה צבי ב.ט,ID: 100004449843600,12/04/2021 19:31,1,,סתיו סמנה סולטר זה לא חדש סתוי שאגף השיקום מערים קשיי עולם על מי שרוצה וצריך לקבל נכות....,view comment
3,,Mizrahi Eliran,ID: 100011480359112,12/04/2021 17:32,0,,זה עוד הפקרה פושעת של משרד הבידחון,view comment
4,,אביטן ימית ועומרי,ID: 100000498127644,12/04/2021 17:32,1,,הגיע הזמן שהמדינה תתחיל לטפל בנפגעים לאורך זמן ולא להזניח אותם,view comment
5,,מיכאל מרכוס,ID: 100001256855688,12/04/2021 17:32,2,,מצמרר חייבים שינוי לגיבורי ישראל מגיע כל טיפול או עזרה שהם צריכים רפואת השם כערף עין,view comment
6,,Nadia Bulatkin,ID: 100004452125379,12/04/2021 17:32,0,,Noy Kogan ,view comment
7,,Hadar Toledano,ID: 813568483,12/04/2021 17:33,0,,וואו. עצוב ממש??,view comment
8,,Yuval Amado,ID: 1193696617,12/04/2021 17:33,1,,מדינה מפקירה לוחמייה!!!,view comment
9,,שלמה וויקי ואלקר,ID: 100000353659605,12/04/2021 17:33,0,,רפואה שלמה אמן,view comment
10,,Shani Halevi Burla,ID: 100000266859223,12/04/2021 17:33,8,,"הטיפול בהלומי הקרב עלוב, כמו הרבה דברים במדינה הזאת!חייבים לעזור להם חייבים!",view comment
11,,Eti Levi,ID: 100009840278350,12/04/2021 17:33,30,,"** מנגנונים רקובים ביטוח לאומי והגורם המטפל בנכי צה""ל?? מתסכל מאוד, לא יתכן שנשלח את מיטב בננו להלחם ולסכן את חייהם ואת בריאותם הפיזית והנפשית, ושלא ניתן להם תמיכה רפואית וכלכלית לאחר שנפגעו!!!??",view comment
12,,Silvi Mamuka,ID: 733912163,12/04/2021 17:33,1,,כואב ועצוב מאד!!,view comment
13,,מירי ספרוני,ID: 100007225233710,12/04/2021 17:33,0,,זי6 הקול שלך הענין הזה מאוד חשוה,view comment
14,,תהילה וקנין,ID: 100001313116625,12/04/2021 17:33,5,,תאמין תאמין חברי כנסת אוכלי חינם בזמן שלוחמים נלחמים על זכיות שלהם בושה!,view comment
15,,מיכל מיקי לוי,ID: 1765353733,12/04/2021 17:33,20,,אפשר לוותר על המשואות השנה.לא רואה שום סיבה למסיבה. ??,view comment
,15-1,Daphna Melamed,ID: 100010235078795,12/04/2021 17:35,1,,מיכל מיקי לוי יכולה להסכים איתך. ,view comment
,15-2,יוסי סקורי,ID: 100000531307861,13/04/2021 04:56,1,,מיכל מיקי לוי ממש ככה אני לא רואה כאן שום עצמאות מי שמשרת אוכל אותה כאן ומי שלא מקבל ,view comment
16,,Orly Betesh,ID: 1070390655,12/04/2021 17:35,0,,????עצוב,view comment
17,,Maya Netzer,ID: 645654900,12/04/2021 17:35,0,,"נשבר הלב........ וסיפורים בלי סוף של נכי צה""ל שסובלים מחוסר יחד וטיפול של משרד הביטחון",view comment
